Product Name,Price,Vendor Name,Category
28 Gram Sour Diesel,$80.00,DarkWeed,Weed
"10 Gram Sour Diesel, Gorilla Glue, Girl Scout",$115.00,DarkWeed,Weed
14 Grams (TOP QUALITY) CA Flowers,$60.00,DarkWeed,Weed
10 Gram - Birthday Cake / Wedding Cake,$50.00,razzy,Weed
20 Grams of Top Quality Moroccan Hash,$160.00,DarkWeed,Hash
20 Gram Hashish Ketama Top A+++ Cream Hash,$130.00,KUSHBANANA,Hash
5 Gram Afghan Cream Hash,$55.00,DarkWeed,Hash
5 Gram Super Hash Super Concentrated,$45.00,DarkWeed,Hash
10 Gram Gelato Kush,$70.00,DarkWeed,Kush
10 Gram Kosher Kush,$85.00,DarkWeed,Kush
Banana Kush 500mg 95% Pure THC Distillate Cart,$80.00,DarkWeed,Vape
1000mg - Vape pen oil Gelato,$80.00,DarkWeed,Vape
1000mg - Holiday Special SUPREME Vape,$50.00,DarkWeed,Vape
25 Pills - Cannabis Capsules - 17.5mg,$50.00,DarkWeed,Cannabis Capsules
Adderall 30mg - 30 Pills,$95.00,CapitalPharmacy,Adderall
Adderall XR 30mg - 100 Pills,$180.00,CapitalPharmacy,Adderall
Ritalin 20mg - 30 Pills,$60.00,CapitalPharmacy,Ritalin
Ritalin 10mg - 30 Pills - Dutch Pharmacy,$40.00,CapitalPharmacy,Ritalin
XANAX 2mg (Alprazolam) - 30 Pills,$55.00,CapitalPharmacy,XANAX
XANAX 2mg (Alprazolam) - 100 Pills,$130.00,CapitalPharmacy,XANAX
100 Pills - XANAX Bars 2mg,$100.00,CapitalPharmacy,XANAX
100 Pills - XANAX YELLOW Bars 2mg,$110.00,CapitalPharmacy,XANAX
Oxycodone 30mg - 100 Pills,$190.00,CapitalPharmacy,Oxycodone
Oxycodone 80mg Sandoz,$170.00,CapitalPharmacy,Oxycodone
Tramadol 100mg - 100 Pills,$60.00,CapitalPharmacy,Tramadol
Tramadol Hydrochloride 100mg - 250 Pills,$120.00,CapitalPharmacy,Tramadol
Suboxone 8mg - 30 Pills,$60.00,CapitalPharmacy,Suboxone
Morphine 60mg - 60 Pills,$90.00,CapitalPharmacy,Morphine
Methadone 10mg - 100 Pills,$130.00,CapitalPharmacy,Methadone
Methadone 40mg - 100 Pills,$230.00,CapitalPharmacy,Methadone
Valium 10mg (Diazepam) - 30 Pills,$85.00,CapitalPharmacy,"Valium,Diazepam"
Valium 10mg (Diazepam) - 50 Pills,$120.00,CapitalPharmacy,"Valium,Diazepam"
Valium 10mg (Diazepam) - 100 Pills,$200.00,CapitalPharmacy,"Valium,Diazepam"
Temazepam 60 Pills - 20mg - Jelly Eggs,$55.00,CapitalPharmacy,Temazepam
15 Pills Alprazolam 0.5 mg (Alprax),$20.00,CapitalPharmacy,Alprazolam
120 Pills Alprazolam 0.5 mg (Alprax),$120.00,CapitalPharmacy,Alprazolam
Captagon - 200 Pills - Original,$140.00,CapitalPharmacy,Captagon
Targin 30mg/15mg - 1 Box,$55.00,CapitalPharmacy,Targin
10mg/325mg Hydrocodone - 100 Pills,$230.00,CapitalPharmacy,Hydrocodone
YABA R7 - 25 Pills,$250.00,yaba0101,Yaba
YABA WY - 25 Pills,$140.00,yaba0101,Yaba
Lyrica 300mg (Pregabalin) - 56 Pills,$15.00,ByPGN,"Lyrica,Pregabalin"
Testosteron Enanthate 250mg,$20.00,CapitalPharmacy,Testosteron Enanthate
Testabol Enanthate BRITISH DRAGON 250 mg/ml (10 ml),$25.00,CapitalPharmacy,Testosteron Enanthate
Glock 17 - 9x19mm,$270.00,Capri-Guns,Glock 17
Baretta 92FS Stainless 9mm,$290.00,Capri-Guns,Baretta
AK47 - 7.62x39mm,$600.00,Capri-Guns,AK47
250pcs 9MM - SELLIER & BELLOT 115GR,$70.00,Capri-Guns,Ammo
7.62x39 - Ammo (250 Round),$110.00,Capri-Guns,Ammo
America Passport + ID Card,$300.00,DarkWorldCitizenship,Passport / ID Card
Arab Emirates Passport + ID Card,$300.00,DarkWorldCitizenship,Passport / ID Card
Canada Passport + ID Card,$300.00,DarkWorldCitizenship,Passport / ID Card
Chile Passport + ID Card,$300.00,DarkWorldCitizenship,Passport / ID Card
Germany Passport + ID Card,$300.00,DarkWorldCitizenship,Passport / ID Card
Turkey Passport + ID Card,$300.00,DarkWorldCitizenship,Passport / ID Card
Uruguay Passport + ID Card,$300.00,DarkWorldCitizenship,Passport / ID Card
Instagram Hacking Service,$200.00,XM-H4CK3R,Hacking
Facebook Hacking Service,$150.00,XM-H4CK3R,Hacking
Twitter Hacking Service,$300.00,XM-H4CK3R,Hacking
Credit Card / CC - 1000$ Balance,$75.00,Jdkcarding,Credit Cards
Credit Card / CC - 2500$ Balance,$150.00,Jdkcarding,Credit Cards
Credit Card / CC - 5000$ Balance,$250.00,Jdkcarding,Credit Cards
Prepaid Card - 5000$ Balance,$200.00,Jdkcarding,Prepaid Card
Prepaid Card - 10.000$ Balance,$350.00,Jdkcarding,Prepaid Card
Western Union Transfer - 500$,$60.00,CaptainTransfers,Money Transfers
Western Union Transfer - 1000$,$100.00,CaptainTransfers,Money Transfers
Western Union Transfer - 3000$,$200.00,CaptainTransfers,Money Transfers
Western Union Transfer - 5000$,$300.00,CaptainTransfers,Money Transfers
Western Union Transfer - 10.000$,$500.00,CaptainTransfers,Money Transfers
Paypal Transfer - 500$,$60.00,CaptainTransfers,Money Transfers
Paypal Transfer - 1000$,$100.00,CaptainTransfers,Money Transfers
Paypal Transfer - 3000$,$200.00,CaptainTransfers,Money Transfers
Paypal Transfer - 5000$,$300.00,CaptainTransfers,Money Transfers
Paypal Transfer - 10.000$,$500.00,CaptainTransfers,Money Transfers
Moneygram Transfer - 500$,$60.00,CaptainTransfers,Money Transfers
Moneygram Transfer - 1000$,$100.00,CaptainTransfers,Money Transfers
Moneygram Transfer - 3000$,$200.00,CaptainTransfers,Money Transfers
Moneygram Transfer - 5000$,$300.00,CaptainTransfers,Money Transfers
Moneygram Transfer - 10.000$,$500.00,CaptainTransfers,Money Transfers
Apple iPhone 14 Pro Max - 1TB - Apple US Original,$560.00,GardenSpice,Apple/iPhone
Apple iPhone 13 Pro Max - 512GB - Apple US Original,$320.00,GardenSpice,Apple/iPhone
Apple iPhone 11 Pro Max - 512GB - Apple US Original,$190.00,GardenSpice,Apple/iPhone
Apple MacBook Pro M2 14inch - 16GB RAM/512GB SSD,$825.00,GardenSpice,Apple/Macbook
Apple Watch Ultra - Alpine Loop - Apple US Original,$320.00,GardenSpice,Apple/Watch
